Level,Entity Key / Metric,Exact Match,Token F1,Substring Match,Fuzzy Match,Support / Info
Entity,file_date,0.1979,0.1984,0.1979,0.3693,485
Entity,foreign_principle_name,0.1836,0.3574,0.2885,0.4674,305
Entity,registrant_name,0.6982,0.8198,0.7042,0.8868,497
Entity,registration_num,0.9576,0.9623,0.9606,0.9719,495
Entity,signer_name,0.7414,0.8293,0.7643,0.8970,437
Entity,signer_title,0.6600,0.7772,0.6800,0.8342,400

Macro,avg_calculated_document_f1,,,,0.5906,Value-Level F1 Matrix
Macro,avg_calculated_field_em,,,,0.5906,Strict Exact Field Match Precision
Macro,avg_calculated_fuzzy_score,,,,0.7512,Fuzzy Token Sort Match Evaluation

Macro,Average Field Metrics,0.5906,0.6659,0.6097,0.7477,
Macro,Subset Exact Match,0.0300,,,,Requires perfect EM on all doc fields
